复活之战斗在第三帝国 　　　　世界上再没有比在碧蓝的天空里自由自在的飞翔更享受的事情了。
影视世界游记 　　辛苦了一天，秦云满脸的疲惫之色，回到家里一躺在床上就再也不愿意起来了。
重生铸梦 　　从上课铃声响起直到现在，赵泽君整个人都恍恍惚惚的。
漫威大抽奖 　　夜色如墨。
易小二的荒岛时代 　　“哈喽！亲爱的玩家您好，欢迎进入超级岛主，我是你的贴身岛主顾问小艾。”
进击的武大郎 　　天还未亮，晨雾弥漫寒风瑟瑟，紫河街上静悄悄的，便是有那么几个起得早的，也都还在自家院里猫冬。
钻石王牌之全能棒球手 　　柔和的阳光洒在客舍的大床上，勾勒出一幅宁静美好的画面。
都市之时间主宰 　　“主人，您的时间余量还剩下25天，25天内不开始第一笔时间交易您就会死于意外哦。”
文娱鼻祖 　　“晨阳，你怎么搞的，是不是不想混了！”
妖神记 　　　　~~前面写得不是很好，请大家耐心看完三万字，后面将会越来越精彩……
穿越三千位面 　　“卧槽，穿越系统，哥这是要逆袭的节奏啊！”石炎强行压抑着自己激动的心情，快步向自己租住的地方走去。
纯阳鬼胎 　　纯阳不生，纯阴不长，命书有云：四柱纯阳男必孤，四柱纯阴女必寒。
黑卡 　　大千世界，芸芸众生，每一个人都觉得自己与众不同。
荒野求生之第一主播 　　一个阳光明媚的下午，街道上几个小孩欢乐的玩着游戏，街边一家平常咖啡厅。
网游三国之大领主 　　“看那，是他。”
偷菜系统 　　今年的九月，燥热十分留恋，久久不肯离去。
千年军国 　　　　非洲，坦桑尼亚，乞力马扎罗山麓的东南，恩敦古东偏北20度，在这个平均海拔八百米左右的东非高原，一座视高不足四百米的小山上，雨季刚结束的季节，草木正是旺盛的时节，而繁茂的植被遮蔽了很多丛林猛兽的活动。
我的大明星老婆 　　“喂？喂？周哥，您放心，拷贝的东西都在我手上呢，对对，几百首歌曲和上百部电影都在我手上的U盘里呢，一共3T的容量，您放心吧，按照您的意思，个个都是经典。”赵兴一边走着，一边打着电话。
星际淘宝网 　　　　朱晨海抖了抖鼻梁上的金丝眼镜，淡淡的说道：“可以了，简历留下，回去等消息吧。”
步剑庭 　　冷风料峭，遍地枯残。蜀中冬季向来温润，今日却是十年一见的寒冷。天幕低垂，黑云密布，寒风吹彻空旷的街道，如妖鬼哀唱悲鸣，正是风雪欲来之兆。
超牛升级系统 　　圣帝歌大陆，苍禹帝国，天龙城辖地，西北方最边远的小镇古溪镇。
武侠之数据悍匪 　　夕阳西下，一眼望去天边几片云朵被烧得通红。真是难得一见的火烧云啊！
超级探囊取物 　　虚弱的李汉，躺在医院的病床上，有气无力，心中充满了不舍，可他知道自己的生命即将完结！
超级海盗船 　　　　深海市东临东海，可以说深海市之所以能够经济排在全省前三，这片富藏无尽宝藏的海洋做出了很大的贡献。因为它，深海市有全省唯一一个深水港，因为它，深海市有着成熟的养殖产业链，千万人因为它脱贫致富奔小康。
至强掌门 　　第一章神秘武典
我的娱乐王国 　　“各位老师好，我叫王梦。今年二十一岁，毕业于西南艺术学院，曾在《甄嬛传》中饰演过配角。曾在《华夏儿女》中饰演过男四号……”
超神调节器 　　“小文，路上小心点，到了学校就给我打电话，钱省着点用。”古丽看着坐在客车上的方文，耐心地叮嘱着。
无限幻想大冒险 　　　　大家新年好！
锦衣卫之杀神系统 　　明朝天启三年一月，朔雪飘飞。
我的母亲是妖怪贤者 　　穿越……是种什么样的感觉？唯有穿越者知道。
综漫之二次元旅行者 　　“可恶，又要被杀了吗？可恶！这样的话，不是又要回到原点了吗……艾米莉娅……我……我一定会帮助你的！我一定！等我回来！”菜月昴眼睁睁地看着猎肠者艾尔莎向自己奔驰而来，手里握着的可怕凶器闪耀着冰冷的寒光，他的身体已经无法动弹了，而他的周围，罗姆爷重伤昏迷，菲鲁特失去了战斗力，帕克已经陷入沉睡，艾米莉娅也受了伤，再没有人可以帮助自己了……
重生之末世宝典 　　一处倒塌的楼房旁边，五人正在激战。
神级上门女婿 　　一命二运三风水，四积阴德五读书！
手机连上位面交易网 　　戴俊，人如其名的反面教材，名虽俊，人不帅。凭着老实本分的优良品质，大一第二学期时被一个还颇有姿色的小美女看上，不得不背叛了单身狗联盟。
乡村直播间 　　“老杨，江湖救急呀！我……哦！你现在经济也不宽裕呀！那没事！行，有困难肯定找你，好！你先忙。”费林脸上的笑容瞬间消失。
末日聊天群 　　世人都以为神话都是传说，却不知道，在九天之上，真的有天庭存在。
海贼王之大文豪 　　“喂喂！你是谁！抓我干什么！”
超级小说系统 　　昏暗的出租屋内，方便正坐在一张旧桌子旁边，摆在他面前的是一个笔记本电脑，是他花了一千块钱买的二手电脑。出租屋很小，不到三十平米，有独立的卫生间跟厨房，不过房租倒不便宜，月租将近一千，但在这个一线的城市，已经算是便宜的了。屋子里面的东西很简单，最贵的就是那台二手电脑。
武破三国 　　东汉末年分三国，烽火连天不休，儿女情长没法执着，有谁来煮酒……
不科学的天天传 　　木叶村忍者学校
海贼王之我有英雄联盟 　　夜月高升，华国sx省tt市市区一小区内，随着时钟上的时间渐渐走到午夜12点，小区内的灯光也逐渐一格一格的熄灭了，每栋楼都开始被黑暗所吞噬。但有一户的窗户仍透出明亮的灯火。
火影之千叶传说 　　木叶村，忍者学校。
史前崛起 　　王川恢复意识的时候，感觉有人正在给他喂食。喂进嘴里的东西是湿冷的碎末，有点像搅拌机加水打碎的果仁，好像还带着些果核的壳。身体饿而且虚弱，仿佛很久没有吃东西了，简单的分辨了一下喂进嘴里的东西便吞了下去，而后微微张开嘴期望更多。
重生之星光灿烂 　　方宇晨背着背包走在他既熟悉又陌生的大街上，这里是华夏帝国的首都北平，一个近两千万人口的大都市。
火影之最强震遁 　　火影世界，木叶村。
法师真理 　　好像高速列车在剧烈的抖动，仿佛世界一下子都颠倒了过来，林克想要张嘴说些什么，声音却好像卡在喉咙里怎么也说不出来。
极速狂人 　　李家村被死亡的气息笼罩着。
我真是召唤师 　　第一章落魄贵族
帝皇演义 　　草木摇落，秋风萧瑟，庭院里落叶归根，反补大地，再度轮回。
体育大明星 　　孙石讷一直有一个梦想，希望自己长大后可以成为一个大明星。
出售未来 　　迷茫……望不见前路。
重生之绝色亡灵法师 　　历史上几乎没有人能以一己之力毁灭一个国家。
我在商朝有块地 　　李凌带着大包小包的东西走出超市的时候，收银美女望着他的背影发呆了三分钟:这么帅气又懂得的体贴的男孩子现在可不多见，女孩子所需要的日常生活用品，他几乎全部都买了.
无尽主神系统 　　盛夏关上了玄幻小说的页面，也关上了开头全是无限、主神以及武的小说目录。
轮回之朝廷鹰犬 　　第一章重生大明，锦衣嬴泉
德意志雇佣兵之王 　　马林很郁闷，本来好好的在家玩《欧陆风云》，好不容易混成了神圣罗马帝国皇帝，正high着，结果哥们李亮打电话过来求助，让他帮忙去打架。
我家萝莉是大明星 　　“啊啊，张嘴。”
史上最牛暴君 　　夏季，天有些灰蒙蒙，下起小雨来，郊外一处墓地，刘旭神情冷漠的走着，本来是伤感的地方。
唯我中华 　　公元1873年，同治12年。
名侦探柯南之移动炸弹 　　一片黑云笼罩的原始深林，大雨呼啸倾泻，在雨幕下，一队人疯狂的向前奔跑。
重生西游之天篷妖尊 　　天河驻地，一座宫殿之内，青年呆滞的看着身前的元帅服侍和便宜老爹朱刚强的遗物：九齿钉耙。
人生回溯局 　　叶宇，一个看上去很普通的宅男。
追凶韩国 　　这是一个发生在球地星的故事…………
超级作品位面 　　金烨，这是猪脚的名字，这个名字的谐音有点猥琐，但是很容易记。上辈子上学的时候，金烨没少因为这个名字被同学取笑，起外号，但是每次来到一个新环境中他总是第一个被新同学认识。此刻这个名字却莫名地让金烨感到温暖和安心。
造车 　　“轰—轰—”
狩魔续魂 　　大陆历216年六月夏夜，月光下苏克镇边缘的一栋爬满了不知名植物，看上去有些陈旧的房屋一楼正不断的有独属于年轻人干净平缓且低沉的读书声传出。
位面之吾道随心 　　　　2015年6月29日，东莞石龙，晚上20.18分。王明走在浩浩荡荡的下班人群中.和平常一样拿着手机、看着小说沉寂在人潮中慢慢的流向工厂下班打卡处！作为看书五六年的老书虫，低头一族的装逼大.法王明早已运用自如，晃荡着身子眼睛盯着手机屏幕一步一趋跟着人流缓缓前进。
我可以变成鱼 　　“轰隆！”
万古皆妖 　　雁铩关，地处中神州与北冥州交界线上，三百年前曾是大商皇朝抵御北冥妖族的雄关之一，号称“大雁北回自此铩”，自后方设立“九州第一雄关”雁门关后战略地位转移开始落没，如今已和寻常村镇无异，关中居民不过数千。
算卦我靠玩微信 　　暮色时分，繁华落尽。
韩娱之倒霉神系统 　　林错，中国安徽人，89年生，宅男一枚，毕业于北京音乐学院，进修北京电影学院，涉猎音乐创作、影视制作、股票、投资等等各种工作。
美漫之多塔杂货铺 　　2010年9月23日，夜，纽约，布鲁克林大桥。
三界红包群 　　青藤大学，小花园内。
变身魔物娘 　　林檎张大了嘴巴呆呆的站在镜子前，微微转动着身子，不知所措的望着光滑的镜面中的“自己”。
死神之绝对掌控 　　“人生真是寂寞如雪啊。”
无限技能之幻想大世界 　　“我擦，我要龟派气功啊，要不给个御剑术也行，这个禁咒末日审判虽然很赞，但给我完全是鸡肋啊！”
末世无限夺舍 　　这是一艘客轮底舱一个黑暗，肮脏，空气浑浊，充满各种臭味的房间，正常人肯定不愿意在这样的房间多呆一秒，只是随着房门打开，手电筒的光芒照进来，却发现这房间内的角落居然坐着一个人。
仙盟世界 　　天道不仁，以万物为刍狗。圣人不仁，以百姓为刍狗。
汉帝系统 　　1
回档一九七八 　　李默做了一辈子好人，可是命运不佳，晚年孤身一人，加上他傲气重，几乎没有人过来看望他了。这次感冒来得很突然，发起高烧，昏昏沉沉的，都没有办法爬起来去医院。
韩娱之我为搞笑狂 　　　　“X啊！要不要这么坑啊，活的好好的却让我魂穿了。魂穿就罢了还被一个不知道活了多少年的修真者夺舍了。夺舍就罢了还禁锢我灵魂干啥，禁锢就罢了你拍拍屁股烟消云散了却给了我这么大一个烂摊子。我太阳啊。”一个赤身躶体的男人漂浮在无尽虚空中破口大骂道。
位面破坏神 　　要问福州城内哪家镖局最大，当属福威镖局。福威镖局镖头众多，镖局龙头林震南颇善经营，且为人疏阔，黑白两道都要卖他个面子。这两年生意越发的大，周围数省的走镖买卖，福威镖局都掺了一手。
超级科技系统 　　对于在北方的人们来说，九月份的天气虽不算特别的炎热，但是空气还是十分的干燥，不过这对于重本的同学们来说还不成问题，重本的学校基本上会为同学们提供一个良好的环境。
怒瀚 　　“咕噜，咕噜，咕噜......”
火影之最强老师 　　“怎么了？伊鲁卡老师，好像很没有精神的样子呢。”
三国之我是无名氏 　　吴立仁正在躺在床上，拿着手机，玩着三国游戏，忽然看到游戏中的招募英雄的酒馆散发出一阵七彩的光芒。吴立仁十分好奇，心想：难不成要出神将了？忍不住就想点进去看看，碰碰运气。只见他刚用手一点，忽然全身上下如遇到电击一般，不停地抽搐起来。
电影学习系统 　　烈日炎炎，整片大地就像蒸笼一样，将人围困在热气之中。
武侠神功系统 　　无穷无尽的黑暗虚空，岁月不显，时光不存。
肉身成圣者的二次元生活 　　“同学们，请将书本翻到第四十六页，今天，我们……”
三国之坐断东南 　　时间进入22世纪，世界的战乱基本平息，至少表面上如此。越来越大的人口压力，迫使人类不得不将大量的精力投入到科技研发上来，以寻求找到解决问题的方法。因此科技的发展更是日新月异，虚拟经济在生活中的比重越来越大，由此催生了更多的人投入其中，游戏产业就是其中的重要组成部分。人们可以在游戏中的发展自己的事业，赚取货币，满足现实中不能实现的精神生活，这也大大缓和了社会矛盾，减缓了社会压力。
乃木坂之诗 　　东京都，乃木坂道，索尼SMZ大楼，会议中心。
韩娱之国民主持 　　　　2005年大韩民国首都首尔，MBC电视台汝矣岛总部，演艺人招收大会。一众用平常人的审美观来看，绝对算的上是丑男丑女的报名者，再加上为汇演节目而做的准备，金泰浩一边往演播室走，一边暗自嘀咕：“大韩民国怎么会有这么多的奇形怪状，真是太奇怪了”。却不知，如果让别人知道他的想法会不会吐血，哥们，就您那样，有资格说人家么？（诸位可以去百度一下无限挑战PD金泰浩，这位大叔在无挑里外貌排在最末尾，居然连朴明秀都比不过，真的太悲催了）
重活之肆意人生 　　笔直的站在实木办公桌的前面，看着办公桌对面坐着的那个已经开始谢顶的男人，自己的顶头上司。苏寒努力的克制着内心的激动与狂喜，两手相互握紧，努力的压制自己那颗快要不受控制想要跳出来的心脏，酝酿了一下要说出口的话，然后猛的就开了口：“MD，老子不干了，老子要炒了你的鱿鱼！”
重生苏联 　　（这章看着可能会有点烧脑。如果看不下去就飞，看得下去就请仔细看。）
超级足球巨星 　　　　2008年的六月，在欧洲一条不知名的马路上，一个黄皮肤黑头发的亚洲少年人，不对应该叫做青年，此刻正一脸迷茫的眺望的四周，“这里是哪里？我怎么在这里？”此刻这位亚洲人正发出标准的中文，很显然这位亚洲人是龙的传人。
骑士号角 　　　　午后，树林里静谧无声，阳光透过林荫间隙，在林间形成一道道光柱，空气中的微小颗粒漂浮物无所遁形，尘埃在光柱中缓缓浮动。
大明舰队 　　　　蓝色的海水，蓝色的天空，看不到一丝污染。海风吹过，大红色“郑”字旗在风中猎猎作响。
重生之我要做明星 　　秦烨活着最大的梦想就是想成为一个大明星。
洪荒之榕植万界 　　如果可以，李道虚真的希望自己是在做梦，明明是一夜好眠，可是醒来之后却发现自己成了一棵将根须狠狠的扎在地底的大榕树。刚刚醒来时根本无法接受，但随着时间的推移也只能是默默接受。
大唐第一少 　　巍峨的宫阙掩盖了无数阴暗，历史浩瀚的车轮一遍遍的碾压过这沾满鲜血的青石板街道，天还未亮，一队披盔贯甲的兵士，神色严峻，手里执着长枪，向皇宫赶而去，而街上的百姓被这肃杀的气氛感染，顷刻间便收了摊子，关上了店门，少顷，街上便再空无一人。
混沌皇帝系统 　　叶浩身为地球上的叼丝群体，此刻正躺在床上看着小说，津津有味，丝毫不知道即将发生的......
重生之游戏教父 　　“乐乐，怎么样，找到工作了吗？要不回来，妈托人给你找个我们这里的单位上班？”电话那头一个关切的声音传来。
摄政大明 　　　　当赵刚从昏迷中渐渐清醒，只觉得脑袋好像要裂开一般，又好像被什么东西包裹着，又疼又闷；周围左右，似乎有无数人在窃窃私语，声音不大，却直入耳膜，让他更加烦躁难耐。
抗战之第十班 　　阳光下，一个白白胖胖的少年坐在屋旁的石头上，而在周围，有许多穿着粗布麻衣的人三三两两的走过，时不时有一队穿着灰绿色军装的军人扛枪走过，像是巡逻的。
传奇巨星 　　“篮球前辈们给了我很多的机会。我这里指出一些：贾巴尔，J博士，韦思特。这些人在乔丹出生前就活跃在赛场了。迈克尔?乔丹只不过是继承了他们的传统。斯特恩先生及其为联盟做出的贡献给了我打篮球的机会。我已尽我最大能力打球，并一直努力为比赛增光。我一直努力成为我所能达到的最好的球员。”
学霸的科技帝国 　　　　幽暗的房间，只有台灯散发着淡黄色的光芒照耀着，三只小虫绕着灯泡飞舞，发出吱吱的声响，正是江海最热的季节——八月初，最高气温达到40度以上。
超级小前锋 　　“靠！”哪怕是科比的死忠粉，刘仁都完全想不到剧情会发展到现在这样，就连好莱坞的编剧脑洞也没有这么大吧！
火影之究极下忍 　　金宇晶臧，是现在的名字，他稀里糊涂来到了火影的世界，他不明白自己从哪里来，将来要到哪里去。但他只知道一件事情，他必须在世界独自生存下去。最要命的一件事情，晶臧的父母都死于那个可怕的传说之役。从他懂事开始，他就经常听到那个传奇般的传说。“昔日有一妖狐作乱，名曰九尾，狐动其尾则山崩海啸，百姓不堪其扰，乃召忍者治之。有一忍者不顾生死将其封印，此忍者亦力竭身亡。该忍者乃四代火影波风水门是也，忍界呼为金色闪光。”历史就是这样记录下来的，简单而又滑稽。
海贼王之蓝色魅影 　　肆虐的狂风，不断倾泻而下的暴雨，汹涌的暗流……
火影之黑色羽翼 　　一片死寂的空地上，夜无忌慢慢的睁开了双眼，正待看看现在在那里的时候，突然身上一阵疼痛，才待张口叫出声来，才发现就连嗓子也干涩疼痛，疼痛使得夜无忌感到阵阵晕眩。
茶道传承系统 　　当苏仲康迷迷糊糊地睁开那双眼睛时，他还来不及环视一下四周，只感觉自己脸颊一痛，好像是被人赏了一大巴掌，让他始料不及的是，随之他又再一次失去了知觉。
率性球王 　　张述坐在沙发上，目不转睛的看着电视荧幕。
仙朝降临 　　沈瑜的心情现在很不好，非常的不好。
督军 　　鉴于很多人对楔子有意见，现做删除处理。以上。
超级U盘 　　“啪！”马竞恼怒的摔下手中的老式双键鼠标，忽然想起这是在网吧里面，硬生生把后面的大骂咽了回去。还好这只跨世纪老式电子产品用足了塑料非常结实，并没有任何裂痕甚至碎成零件的情况发生。
我的女儿是吸血鬼 　　作为一个靠写作为生的宅男，叶舒的生活是单调而无趣的。
超战舰 　　眼皮上仿佛有千斤重担，令人难以睁开。而耳边充斥着人员呼喊的声音。远处甚至仿佛在打雷一般，那轰隆的声音简直让人头痛欲裂。
交锋 　　一九三九年六月二十一日，农历五月初五，端午节。天色阴沉，空中飘着毛毛细雨，放眼望去视线模糊，街道上的人都只能看个大概。被战争摧残、经常被轰炸的古星市，到处都是断垣残壁，虽是传统佳节，可市场萧条，街上正常营业的店铺不过十之五六，行人更是稀少。
坐忘长生 　　已是深夜，宁安城里却灯火通明，好几处的房屋都燃起了熊熊的大火，不断有惨叫声和哭嚎声响彻夜空。街上到处游荡着三五成群身着铁衣的兵士，时不时狂笑着追着惊惶的平民百姓从火光下路过。
网游之剑仙降临 　　时间：公元2099年12月27日
我家厕所通万界 　　池天成看着电脑屏幕上刺眼的“失败”两个大字，全身力气就好像被抽空了一样，有气无力靠的在椅子上，嘴里嘟喃着，“连输了两天啊，这游戏还特么能玩？”
位面捣蛋王 　　(本书开篇还有个二逼版本，若是风向不对又改那个，这些天用正常版本。)
我是特种兵之兵临全球 　　江浩是一个孤儿，从小在孤儿院长大，高中毕业以后就自己一个人做兼职赚取大学费用。大学是计算机系毕业，现在给一家公司做网站维护。没事的时候喜欢看军事类的电视剧和电影以及军事方面的资料，其实他的愿望是当兵，奈何造化弄人现在当了一名网站维护人员。每个月的工资有大半都捐给了养大他的孤儿院。
英雄联盟之传奇强者 　　“苏辰，你到底是怎么回事，开局不到十分钟就被对手单杀两次，这可是世界总决赛现场，不是平时的训练赛，你让俱乐部的脸往哪搁？去年是亚军，今年还是亚军。你告诉我，俱乐部什么时候才能拿到S系列的冠军！”
搞个大新闻 　　“隼君，我喜欢你，你太帅了！请和我交往！”
迪迦之重生怪兽 　　杨桐醒过来的时候，感觉自己蜷缩在一个密闭的空间，他的眼睛睁不开，只得伸手碰了碰，觉得自己应该是在一个圆形的空间，周围一片漆黑，没有任何的光线。
圣秦霸途 　　夜幕降临，寂静的邯郸城中，随处可见还未曾扑灭的战火。偶尔会传来几声哭声，而大多数人已经连哭的力气都没了，这是秦军几天来最猛烈的一次进攻。
都市大发明家 　　清华大学第六教学楼6C301教室内。
末世之狂法 　　清晨第一缕阳光从窗户照落，投射在林尘脸上。
绝世大神豪 　　行走在冬夜的冷风中…
明星贵公子 　　“小悦悦，好可耐啊！”
夺鼎1617 　　　　天命元年（万历四十五年）元旦（农历大年初一，西元1617年2月6日），山海关距离千里之外的赫图阿拉老城。
东厂督公 　　关外，大漠。
穿越暗黑之星辰王者 　　第一章这是哪里？
这个巫师不太冷 　　“终于成功了！”
天才魔法师与天然呆勇者 　　罗布·埃特莱德李查德荷尔斯泰因·瑞克斯。
西游之妖 　　　　开新书了，强烈的求收藏，求推荐票，求打赏，求支持，求一切。
三足金乌 　　比较郁闷的是，直到现在，孙刚还不知道自己到底是在做梦，还是重生了，还有，这是重生到了哪里？
东方妖狐录 　　三月时节，冬雪未去，春风料峭。在这冬春交替的时光里，雌狐生了一窝小狐狸，那是五个可爱的小家伙。
至尊杂货铺 　　这是一间小杂货铺，与其说是杂货铺，不如说是一间没有特色的小商铺更加合适点，这也是李元方父母留个他仅有的财富之一。
洪荒之时空魔君 　　死亡，它并不是生命的结束，或许，它是一个新的开始！
末日领地主 　　无边的沙漠中，一处弹丸之地被铁栅圈着。
网游之星剑传奇 　　啾！啾！啾！一道道镭射激光擦过阵地前沿，在空气中留下一道道焰痕。十几名身着轻型辅助动力战甲的士兵蜷缩在坑道底部，死死的握紧手中的电磁机枪等待着个人终端接收的新作战指令。
史上最强舰娘 　　晴空万里，碧蓝如洗，海天一色。
大泼猴 　　　　清晨，崎岖山路，一个年轻的和尚策马而来。
天外重生者 　　惠丰美食城。
世间自在仙 　　这一夜，风正劲，雪正大。
超级圣树 　　严冬晨高中开始后就发生了变化。
英雄联盟之唯我独尊 　　听着水晶爆裂的声音，叶帝的眼中闪过一抹黯然，五年了，他带领着这支荣耀战队已经征战五年了，五年来他力挫国内群雄，五次带领队伍登顶春夏季赛冠军，他是当之无愧的天才选手，可惜在进入到S系列赛的时候，他却是遇到了他一生的劲敌，五次被对方斩落总冠军的马下。
吾为元始大天尊 　　“这算是夺舍？还是穿越？”
神级明星系统 　　张余小跑了几步，一个漂亮的抽射，将街面上的铁质易拉罐高高踢起，旋转着飞过了前面的高墙，划出了一道漂亮的弧线。
无上神座 　　“唉，这牧府落得这样的下场，真是可怜啊！”
某中二的漫画家 　　　　今天是开学的日子，刚刚脱离了小学的萝莉正太们，已经成为成熟体，三年过后就会进入完全体，至于能不能超进化成为究极体，这个……恐怕要看缘分了！
网游之至尊神猎 　　聂空茫然的环顾着眼前的一切，狭小简陋的卧室，灯光微弱且昏黄，简单的桌椅上一台老旧的笔记本电脑和杂乱的书本，自己半躺在蓝白格子床单的床上……
超能神警 　　　　鲁东省州城市的一个修车厂内，刚刚大学毕业的凌旭通过家人的帮忙，在市里找了一份修车实习工的工作，虽然这份工作又脏又累，可凌旭却根本不在乎，因为还有两个月，鲁东省季南市有五个单位将会公开招聘公务员，他已经报名了。
天王 　　　　楔子【自白】
神级盗墓系统 　　沧浪城，昆仑街道是这个城市里最有名的古董一条街，在这条街道的拐角处，一个古色古香的坐店盘根在这里很多年了，门店上悬着的“吴家古玩铺子”牌匾，朱漆也脱落不少。
重生之围棋梦 　　　　李小强双眼紧紧盯着电脑屏幕，一副不可思议的表情。
体坛鹰雄 　　4月18日（周一），会宫中学高三（302）班，教室黑板上写着：离高考还有“50”天！
洪荒之大金乌 　　汤谷，有一棵参天大树，名扶桑树，扶桑树上此时停歇着十只三足金乌，他们正是如今的妖族天帝帝俊的十个儿子，因为刚出生不久，调皮捣蛋，在洪荒大地玩耍，任意散发太阳真火，造成生灵涂炭，所以被天帝帝俊囚于汤谷，面壁思过，反省自身。
三国之召唤水浒 　　炊烟袅袅，草长莺飞，一群顽童在乡间小道之中嬉戏打闹，你追我赶。
异界之随身炉石系统 　　（本章为穿越铺垫，跳过对剧情无影响。）
续，梦醒千年 　　　　晚饭过后，依文罕见的没有缩到沙发上看电视，而是端着一杯加了莱维血液的红茶继续坐在餐桌前，伊芙也没有像往常一样捧起书本，坐在餐桌的另一头端着一小碟稠鱼烧默默地吃着。
我家兵器最可爱 　　大家，我们又见面了哦~~
我是明朝一小神 　　七月份的梅雨季节，十分的惹人讨厌。有时候一下就能是好几天，道路变得湿滑难走，哪怕是吃惯了苦的农人，都不愿意在这样的天气里出行。
黑科技危机 　　叮铃铃——
异界之英雄联盟商场 　　　　艾泽斯大陆。
变身神装少女 　　“话说，这妹子谁啊？？？”庄孝远目瞪口呆的等着镜子中的身影，脑海中一片空白。
未来游乐场 　　“你向我借的三万块钱，到底什么时候还啊？不能全还只还一部分也行啊！我上个月辞了工作，现在还没找到合适的地方，刚刚又被房东赶出了门，现在没地方去，你再不还我钱我只能流落街头了！”齐格发了个语音微信出去。
穿越在影视的世界 　　话说，人要是倒霉起来的话，那还真是喝水都会呛到，走路都能被车撞到，坐着都有可能会摔倒，上马桶还有可能会被水给冲走啊！
银魂 　　主角：吉阿满（前世名为格里菲斯），左岸之王。
西游大妖王 　　人死后是否真的就像睡着了一样？当石岳闭上双眼准备迎接死亡时，死亡却迟迟没有到来，他的意识依然清醒着，也听不到任何的声音。
变身绝美校花 　　一场车祸过后，林枫发现自己居然变成了女人。
网游之近战弓神 　　“谢谢老板！”凌心开心的接过老板递过来的钱，跟老板道谢着。
火影之明日边缘 　　明宇记得自己手没擦干触电晕倒，迷迷糊糊中好像有人在擦洗他的身体，当他睁开眼时，他简直不敢相信自己的眼睛。
未来天王 　　陨石雨带来了一场灭世灾难，陌生的元素让动物产生病变，看不见的微生物更是带来了无数疫病。
海贼王之卡文迪许 　　求大家支持下新书《邪恶驱鬼师》！求收藏推荐！
五代梦 　　江南好，风景旧曾谙。
仙道云烟 　　晋国，南塘州州城。
国宝级艺术家 　　宇宙无垠广阔，蕴藏着多少的秘密。
超级少年宗师 　　青天白日，烈日当空，能晒死人的天气，郑亚被雷劈了，全身一麻，头一晕，咚的一声，郑亚莫名其妙地被劈倒在搬砖工地上。
原始崛起 　　这是一个如同原始森林般的地方，没有丝毫现代化气息，山峦起伏、怪石嶙峋、古木参天，伴随着阵阵兽吼，让人心神动摇，不敢涉足其中。
末世神箭手 　　华夏，金陵城，富锦花园小区。
校园篮球风云 　　锋芒初露（一）
韩娱之秘密讯息 　　今天是2016年4月7日。
纵横天下有神功 　　大西洋，中央，深海一万米。
哈利波特与佩佛利尔 　　德国1980年，柏林远郊的一座城堡。
重生归来唯我魔尊 　　PS：交代一下前世，有些沉重，不喜欢的可以跳过，本书是爽文，一爽到底，无纠结情节。
火影之大老师系统 　　火影的世界虽然完结，但如果深究下去，实在是有太多的未解之谜。
起点穿越系统 　　“欢迎使用穿越系统，系统绑定资源为‘起点中文网’所有网络小说，宿主：丁麒，现在可进入系统参与新手教学，请宿主选择，同意、拒绝。”
幻想之神话 　　窗外充斥着湛蓝与洁白的色彩。
恐怖游乐场 　　我种下一颗种子
其名为舰娘 　　　　男人是一个少年兵。
火影忍术大宗师 　　清晨，死亡森林外围，一小队，四人，他们正在按照惯例执行着每天的巡逻任务。
寂静农场 　　“看来你是有缘人！”一个中年道士坐在一颗青松下，一条腿伸直，脚掌刚被一个年轻人放下。说着，他从腰间解下一块用红色绳带吊着，形状没有什么特别的血红色透明石子。他将石头递给年轻人。“这块东西就送你吧！”
穿越电影之无限崛起 　　陈旭觉得这辈子废了，从二十四岁至腐烂到老，然后化作墓碑上的一个名字。不，连名字都不会留下，因为没人会记得你，谁也不会记得一个小小的实习医生。无论上班下班，吃饭睡觉，陈旭不知道自己的意义何在。
神奇美女系统 　　“麻痹的！”
重生西游鼍龙怪 　　南瞻部洲，长安城外，泾河。
鬼村扎纸人 　　有一处很奇怪的山，叫猪蹄山。
穿越之变身绝色女主角 　　消炎不愿意睡觉，因为睡醒之后他不知道自己又将穿越变身成那部热播剧里的绝色女主角。
香江豪门 　　“真倒霉，呼，不知道被困了多少天”，男子一身瘫软、如同死狗一般地躺在地下。
津川家的野望 　　天文九年，也就是公元1540年。在RB出羽国仙北郡，刚刚秋收完的各地豪族都在喜迎丰年，然而凡事总有例外.......
道士大人 　　一间豪华的卧室内，陈陆远一丝不挂的躺在床上，房间内的温度很低三个空调出风口马力全开的吐着冷气，可是即使这样他依旧浑身大汗淋漓，面色痛苦非常。
重启家园 　　　　楚翔失望的踢了一脚购物架，那上面除了一堆没用的玩具和生活用品外，什么可吃的也没找到，T病毒肆虐世界半年了，侥幸存活的人类已将可吃的食物搜索殆尽，这是一家设在公路边加油站内的便利店，门已经塌掉一半，无数经过这里的幸存者不知道进来搜索过多少遍，如今连个面包渣也没留下。
主角聊天群 　　轰隆隆，白天里突然下起了倾盆大雨，走在路上的行人急忙东奔西跑，匆匆忙忙躲避起来。
巫师记 　　科莫公国，卢卡行省……
一脚超人 　　一处多元化平行世界，充满复杂和挑战。
